0	x o1 ŋ͡m
chặt	c ă6 t
chau	c ă1 w
cháu	c ă5 w
châu	c ɤ̆1 w
chấu	c ɤ̆5 w
chầu	c ɤ̆2 w
chẫu	c ɤ̆3 w
chảu	c ă4 w
chẩu	c ɤ̆4 w
chậu	c ɤ̆6 w
chay	c ă1 j
cháy	c ă5 j
chày	c ă2 j
chây	c ɤ̆1 j
chấy	c ɤ̆5 j
chầy	c ɤ̆2 j
chảy	c ă4 j
chạy	c ă6 j
che	c ɛ1
ché	c ɛ5
chè	c ɛ2
chê	c e1
chẽ	c ɛ3
chế	c e5
chề	c e2
chẻ	c ɛ4
chệ	c e6
chếch	c e5 tʃ
chệch	c e6 tʃ
chem	c ɛ1 m
chém	c ɛ5 m
chèm	c ɛ2 m
chêm	c e1 m
chềm	c e2 m
chễm	c e3 m
chẻm	c ɛ4 m
chen	c ɛ1 n
chén	c ɛ5 n
chèn	c ɛ2 n
chẽn	c ɛ3 n
chẻn	c ɛ4 n
chẹn	c ɛ6 n
chện	c e6 n
cheng	c ɛ1 ŋ
chênh	c e1 ɲ
chếnh	c e5 ɲ
chềnh	c e2 ɲ
chễnh	c e3 ɲ
chểnh	c e4 ɲ
chệnh	c e6 ɲ
cheo	c eo1
chéo	c eo5
chèo	c eo2
chẻo	c eo4
chẹo	c eo6
chép	c ɛ5 p
chẹp	c ɛ6 p
chét	c ɛ5 t
chết	c e5 t
chẹt	c ɛ6 t
chi	c i1
chí	c i5
chì	c i2
chỉ	c i4
chị	c i6
chia	c iə1
chìa	c iə2
chĩa	c iə3
chịa	c iə6
chích	c i5 tʃ
chiếc	c iə5 k
chiêm	c iə1 m
chiếm	c iə5 m
chiên	c iə1 n
chiến	c iə5 n
chiền	c iə2 n
chiện	c iə6 n
chiêng	c iə1 ŋ
chiếng	c iə5 ŋ
chiềng	c iə2 ŋ
chiếp	c iə5 p
chiết	c iə5 t
chiêu	c iə1 w
chiếu	c iə5 w
chiều	c iə2 w
chiểu	c iə4 w
chim	c i1 m
chím	c i5 m
chìm	c i2 m
chín	c i5 n
chĩn	c i3 n
chỉn	c i4 n
chinh	c i1 ɲ
chính	c i5 ɲ
chình	c i2 ɲ
chĩnh	c i3 ɲ
chỉnh	c i4 ɲ
chíp	c i5 p
chít	c i5 t
chịt	c i6 t
chiu	c i1 w
chíu	c i5 w
chìu	c i2 w
chịu	c i6 w
cho	c ɔ1
chó	c ɔ5
chò	c ɔ2
chõ	c ɔ3
chồ	c o2
chỗ	c o3
chỏ	c ɔ4
chơ	c ɤ1
chọ	c ɔ6
chớ	c ɤ5
chờ	c ɤ2
chộ	c o6
chở	c ɤ4
chợ	c ɤ6
choá	c ɔ1 a5
chóa	cw ʷa5
choạc	cw ʷa6 k
choai	cw a1 j
choái	cw a5 j
choài	cw a2 j
choãi	cw a3 j
choán	cw ʷa5 n
choăn	cw ʷă1 n
choang	cw ʷa1 ŋ
choáng	cw ʷa5 ŋ
choàng	cw ʷa2 ŋ
choảng	cw ʷa4 ŋ
choạng	cw ʷa6 ŋ
choạp	cw ʷa6 p
choắt	cw ʷă5 t
chóc	c ɔ5 k͡p
chốc	c o5 k͡p
chọc	c ɔ6 k͡p
choé	cw ʷɛ5
chóe	cw ʷɛ5
chọe	cw ʷɛ6
choèn	cw ʷɛ2 n
choẹt	cw ʷɛ6 t
choi	c ɔ1 j
chói	c ɔ5 j
chòi	c ɔ2 j
chõi	c ɔ3 j
chối	c o5 j
chồi	c o2 j
chỏi	c ɔ4 j
chơi	c ɤ1 j
chổi	c o4 j
chọi	c ɔ6 j
chới	c ɤ5 j
chội	c o6 j
chòm	c ɔ2 m
chôm	c o1 m
chõm	c ɔ3 m
chồm	c o2 m
chỗm	c o3 m
chỏm	c ɔ4 m
chơm	c ɤ1 m
chớm	c ɤ5 m
chờm	c ɤ2 m
chởm	c ɤ4 m
chon	c ɔ1 n
chôn	c o1 n
chốn	c o5 n
chồn	c o2 n
chỏn	c ɔ4 n
chơn	c ɤ1 n
chọn	c ɔ6 n
chờn	c ɤ2 n
chộn	c o6 n
chợn	c ɤ6 n
chong	c ɔ1 ŋ͡m
chóng	c ɔ5 ŋ͡m
chòng	c ɔ2 ŋ͡m
chông	c o1 ŋ͡m
chõng	c ɔ3 ŋ͡m
chống	c o5 ŋ͡m
chồng	c o2 ŋ͡m
chỏng	c ɔ4 ŋ͡m
chổng	c o4 ŋ͡m
choòng	c ɔ2 ŋ͡m
chòong	c ɔ2 ŋ͡m
chóp	c ɔ5 p
chốp	c o5 p
chớp	c ɤ5 p
chộp	c o6 p
chợp	c ɤ6 p
chót	c ɔ5 t
chốt	c o5 t
chọt	c ɔ6 t
chớt	c ɤ5 t
chột	c o6 t
chợt	c ɤ6 t
chu	c u1
chú	c u5
chù	c u2
chủ	c u4
chư	c ɯ1
chứ	c ɯ5
chừ	c ɯ2
chữ	c ɯ3
chua	c uə1
chúa	c uə5
chùa	c uə2
chưa	c ɯə1
chứa	c ɯə5
chừa	c ɯə2
chữa	c ɯə3
chửa	c ɯə4
chuẩn	cw ʷɤ̆4 n
chúc	c u5 k͡p
chục	c u6 k͡p
chức	c ɯ5 k
chực	c ɯ6 k
chuếch	cw ʷe5 tʃ
chuệch	cw ʷe6 tʃ
chui	c u1 j
chúi	c u5 j
chùi	c u2 j
chũi	c u3 j
chửi	c ɯ4 j
chum	c u1 m
chúm	c u5 m
chùm	c u2 m
chũm	c u3 m
chụm	c u6 m
chun	c u1 n
chùn	c u2 n
chũn	c u3 n
chủn	c u4 n
chưn	c ɯ1 n
chung	c u1 ŋ͡m
chúng	c u5 ŋ͡m
chùng	c u2 ŋ͡m
chủng	c u4 ŋ͡m
chưng	c ɯ1 ŋ
chứng	c ɯ5 ŋ
chừng	c ɯ2 ŋ
chững	c ɯ3 ŋ
chửng	c ɯ4 ŋ
chuốc	c uə5 k
chuộc	c uə6 k
chước	c ɯə5 k
chược	c ɯə6 k
chuôi	c uə1 j
chuối	c uə5 j
chuồi	c uə2 j
chuỗi	c uə3 j
chuội	c uə6 j
chưởi	c ɯə4 j
chuôm	c uə1 m
chườm	c ɯə2 m
chuồn	c uə2 n
chuông	c uə1 ŋ
chuồng	c uə2 ŋ
chuộng	c uə6 ŋ
chương	c ɯə1 ŋ
chướng	c ɯə5 ŋ
chường	c ɯə2 ŋ
chưỡng	c ɯə3 ŋ
chưởng	c ɯə4 ŋ
chượp	c ɯə6 p
chuốt	c uə5 t
chuột	c uə6 t
chụp	c u6 p
chút	c u5 t
chụt	c u6 t
chùy	c u2 j
chuyên	cw ʷiə1 n
chuyến	cw ʷiə5 n
chuyền	cw ʷiə2 n
chuyển	cw ʷiə4 n
chuyện	cw ʷiə6 n
co	k ɔ1
có	k ɔ5
cò	k ɔ2
cô	k o1
cố	k o5
cồ	k o2
cỗ	k o3
cỏ	k ɔ4
cơ	k ɤ1
cổ	k o4
cọ	k ɔ6
cớ	k ɤ5
cờ	k ɤ2
cỡ	k ɤ3
cộ	k o6
cóc	k ɔ5 k͡p
cốc	k o5 k͡p
cọc	k ɔ6 k͡p
cộc	k o6 k͡p
coca	k oʊ5 k ə1
coi	k ɔ1 j
cói	k ɔ5 j
còi	k ɔ2 j
côi	k o1 j
cõi	k ɔ3 j
cối	k o5 j
cồi	k o2 j
cỗi	k o3 j
cỏi	k ɔ4 j
cơi	k ɤ1 j
cổi	k o4 j
cời	k ɤ2 j
cỡi	k ɤ3 j
cội	k o6 j
